metric  	dataset      	model   	index	config                                                            	ms	ts	ds	mean	lb	ub	ss	rank
accuracy	ampiab-ml-22 	BRDT    	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	 2249.4	 2332.0	   82.6	0.669000	0.655000	0.685000	 50	2.0
accuracy	elsio1       	BRDT    	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  451.1	  450.0	   -1.1	0.731000	0.714000	0.750000	 50	7.0
accuracy	elsio1-ml-11 	BRDT    	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	  600.9	 1331.0	  730.1	0.841000	0.832000	0.849000	 50	3.0
accuracy	elsio1-ml-22 	BRDT    	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1761.1	 1782.0	   20.9	0.378000	0.339000	0.415000	 50	3.0
accuracy	whoqol       	BRRF    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.832000	0.809000	0.856000	 50	7.0
accuracy	whoqol-ml-11 	BRRF    	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  924.1	  925.0	    0.9	0.419000	0.386000	0.451000	 50	6.0
accuracy	whoqol-ml-22 	BRRF    	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	 1846.6	 1849.0	    2.4	0.072000	0.059000	0.085000	 50	7.0
accuracy	ampiab       	BRRF    	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  179.9	  180.0	    0.1	0.641000	0.627000	0.655000	 50	7.0
accuracy	ampiab-ml-11 	BRRF    	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	  671.3	  672.0	    0.7	0.498000	0.474000	0.522000	 50	4.0
accuracy	ampiab-ml-22 	BRRF    	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	 2343.8	 2332.0	  -11.8	0.140000	0.120000	0.161000	 50	7.0
accuracy	elsio1       	BRRF    	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.9	  450.0	   -0.9	0.788000	0.783000	0.792000	 50	4.0
accuracy	elsio1-ml-11 	BRRF    	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	 1328.4	 1331.0	    2.6	0.607000	0.586000	0.630000	 50	6.0
accuracy	elsio1-ml-22 	BRRF    	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1758.6	 1782.0	   23.4	0.130000	0.116000	0.143000	 50	6.0
accuracy	whoqol       	Random  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    1.0	   18.0	   17.0	0.499000	0.475000	0.523000	 50	9.0
accuracy	whoqol-ml-11 	Random  	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	    1.0	  925.0	  924.0	0.002000	0.000000	0.004000	 50	9.0
accuracy	whoqol-ml-22 	Random  	 3304	(3, 7, 'measures', 'tree', 'miss', 'lstsq', 'single')             	    1.0	 1849.0	 1848.0	0.000000	0.000000	0.000000	 50	9.0
accuracy	ampiab       	Random  	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	    1.0	  180.0	  179.0	0.315000	0.302000	0.327000	 50	9.0
accuracy	ampiab-ml-11 	Random  	 2806	(3, 4, 'rho', 'r-invariant', 'cover', 'ridge', 'single')          	    1.0	  672.0	  671.0	0.000000	0.000000	0.000000	 50	9.0
accuracy	ampiab-ml-22 	Random  	 3193	(3, 7, 'averages', 'r-invariant', 'miss', 'lstsq', 'multiple')    	    1.0	 2332.0	 2331.0	0.000000	0.000000	0.000000	 50	9.0
accuracy	elsio1       	Random  	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	    1.0	  450.0	  449.0	0.171000	0.162000	0.179000	 50	9.0
accuracy	elsio1-ml-11 	Random  	 3429	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsquni', 'multiple')	    1.0	 1331.0	 1330.0	0.001000	0.000000	0.001000	 50	9.0
accuracy	elsio1-ml-22 	Random  	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	    1.0	 1782.0	 1781.0	0.000000	0.000000	0.001000	 50	9.0
hammingl	whoqol       	Polygrid	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.000000	0.000000	0.000000	 50	1.0
hammingl	whoqol-ml-11 	Polygrid	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  925.0	  925.0	    0.0	0.042000	0.038000	0.045000	 50	1.0
hammingl	whoqol-ml-22 	Polygrid	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	 2113.0	 2113.0	    0.0	0.094000	0.091000	0.097000	 50	1.0
hammingl	ampiab       	Polygrid	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.0	  180.0	    0.0	0.180000	0.172000	0.188000	 50	1.0
hammingl	ampiab-ml-11 	Polygrid	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  122.0	  122.0	    0.0	0.063000	0.062000	0.064000	 50	1.0
hammingl	ampiab-ml-22 	Polygrid	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2332.0	 2332.0	    0.0	0.070000	0.068000	0.072000	 50	5.0
hammingl	elsio1       	Polygrid	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.067000	0.066000	0.069000	 50	1.0
hammingl	elsio1-ml-11 	Polygrid	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1166.0	 1166.0	    0.0	0.032000	0.030000	0.034000	 50	4.0
hammingl	elsio1-ml-22 	Polygrid	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1562.0	 1562.0	    0.0	0.064000	0.062000	0.067000	 50	4.0
hammingl	whoqol       	Linear  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    8.0	   18.0	   10.0	0.355000	0.330000	0.378000	 50	8.0
hammingl	whoqol-ml-11 	Linear  	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   44.0	  925.0	  881.0	0.152000	0.144000	0.161000	 50	8.0
hammingl	whoqol-ml-22 	Linear  	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	   88.0	 2113.0	 2025.0	0.247000	0.239000	0.254000	 50	8.0
hammingl	ampiab       	Linear  	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   15.0	  180.0	  165.0	0.336000	0.328000	0.343000	 50	8.0
hammingl	ampiab-ml-11 	Linear  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   55.0	  122.0	   67.0	0.086000	0.083000	0.090000	 50	6.0
hammingl	ampiab-ml-22 	Linear  	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	  110.0	 2332.0	 2222.0	0.133000	0.130000	0.135000	 50	8.0
hammingl	elsio1       	Linear  	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   30.0	  450.0	  420.0	0.070000	0.069000	0.072000	 50	2.5
hammingl	elsio1-ml-11 	Linear  	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	   55.0	 1166.0	 1111.0	0.088000	0.087000	0.089000	 50	8.0
hammingl	elsio1-ml-22 	Linear  	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	  110.0	 1562.0	 1452.0	0.161000	0.160000	0.163000	 50	8.0
hammingl	whoqol       	Ridge   	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   10.0	   18.0	    8.0	0.041000	0.029000	0.053000	 50	3.0
hammingl	whoqol-ml-11 	Ridge   	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   55.0	  925.0	  870.0	0.089000	0.085000	0.092000	 50	7.0
hammingl	whoqol-ml-22 	Ridge   	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	  110.0	 2113.0	 2003.0	0.149000	0.144000	0.155000	 50	7.0
hammingl	ampiab       	Ridge   	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   18.0	  180.0	  162.0	0.217000	0.211000	0.223000	 50	5.0
hammingl	ampiab-ml-11 	Ridge   	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   66.0	  122.0	   56.0	0.066000	0.065000	0.068000	 50	2.0
hammingl	ampiab-ml-22 	Ridge   	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	  132.0	 2332.0	 2200.0	0.104000	0.102000	0.106000	 50	6.0
hammingl	elsio1       	Ridge   	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   36.0	  450.0	  414.0	0.070000	0.068000	0.072000	 50	2.5
hammingl	elsio1-ml-11 	Ridge   	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	   66.0	 1166.0	 1100.0	0.072000	0.071000	0.073000	 50	7.0
hammingl	elsio1-ml-22 	Ridge   	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	  132.0	 1562.0	 1430.0	0.131000	0.129000	0.132000	 50	7.0
hammingl	whoqol       	MLP     	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.018000	0.011000	0.025000	 50	2.0
hammingl	whoqol-ml-11 	MLP     	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  924.3	  925.0	    0.7	0.056000	0.051000	0.062000	 50	3.0
hammingl	whoqol-ml-22 	MLP     	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	 2111.8	 2113.0	    1.2	0.112000	0.106000	0.118000	 50	3.0
hammingl	ampiab       	MLP     	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.1	  180.0	   -0.1	0.220000	0.212000	0.227000	 50	6.0
hammingl	ampiab-ml-11 	MLP     	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  121.2	  122.0	    0.8	0.093000	0.088000	0.098000	 50	7.0
hammingl	ampiab-ml-22 	MLP     	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2309.6	 2332.0	   22.4	0.045000	0.043000	0.046000	 50	3.0
hammingl	elsio1       	MLP     	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.082000	0.079000	0.084000	 50	6.0
hammingl	elsio1-ml-11 	MLP     	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1155.1	 1166.0	   10.9	0.017000	0.016000	0.018000	 50	1.0
hammingl	elsio1-ml-22 	MLP     	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1540.2	 1562.0	   21.8	0.042000	0.041000	0.043000	 50	1.0
hammingl	whoqol       	DT      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	   -0.0	0.120000	0.098000	0.140000	 50	4.0
hammingl	whoqol-ml-11 	DT      	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	   93.8	  925.0	  831.2	0.062000	0.058000	0.066000	 50	5.0
hammingl	whoqol-ml-22 	DT      	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	  215.0	 2113.0	 1898.0	0.139000	0.133000	0.145000	 50	6.0
hammingl	ampiab       	DT      	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  183.0	  180.0	   -3.0	0.206000	0.197000	0.215000	 50	4.0
hammingl	ampiab-ml-11 	DT      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  121.7	  122.0	    0.3	0.102000	0.097000	0.107000	 50	8.0
hammingl	ampiab-ml-22 	DT      	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	  679.4	 2332.0	 1652.6	0.044000	0.042000	0.046000	 50	2.0
hammingl	elsio1       	DT      	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.099000	0.095000	0.103000	 50	8.0
hammingl	elsio1-ml-11 	DT      	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	  342.9	 1166.0	  823.1	0.018000	0.017000	0.019000	 50	2.5
hammingl	elsio1-ml-22 	DT      	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	  988.4	 1562.0	  573.6	0.043000	0.042000	0.044000	 50	2.0
hammingl	whoqol       	RF      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.1	   18.0	   -0.1	0.122000	0.101000	0.143000	 50	5.0
hammingl	whoqol-ml-11 	RF      	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  701.5	  925.0	  223.5	0.045000	0.041000	0.048000	 50	2.0
hammingl	whoqol-ml-22 	RF      	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	 2099.6	 2113.0	   13.4	0.108000	0.102000	0.113000	 50	2.0
hammingl	ampiab       	RF      	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.4	  180.0	   -0.4	0.202000	0.190000	0.212000	 50	3.0
hammingl	ampiab-ml-11 	RF      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  120.9	  122.0	    1.1	0.075000	0.071000	0.078000	 50	4.0
hammingl	ampiab-ml-22 	RF      	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2338.9	 2332.0	   -6.9	0.069000	0.065000	0.073000	 50	4.0
hammingl	elsio1       	RF      	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  449.3	  450.0	    0.7	0.071000	0.069000	0.073000	 50	4.5
hammingl	elsio1-ml-11 	RF      	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1162.4	 1166.0	    3.6	0.044000	0.034000	0.052000	 50	5.5
hammingl	elsio1-ml-22 	RF      	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1545.8	 1562.0	   16.2	0.066000	0.065000	0.068000	 50	5.0
hammingl	whoqol       	BRDT    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.2	   18.0	   -0.2	0.136000	0.114000	0.158000	 50	6.0
hammingl	whoqol-ml-11 	BRDT    	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  195.1	  925.0	  729.9	0.057000	0.054000	0.061000	 50	4.0
hammingl	whoqol-ml-22 	BRDT    	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	  755.3	 2113.0	 1357.7	0.123000	0.119000	0.127000	 50	4.0
hammingl	ampiab       	BRDT    	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.6	  180.0	   -0.6	0.198000	0.188000	0.208000	 50	2.0
hammingl	ampiab-ml-11 	BRDT    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  120.8	  122.0	    1.2	0.079000	0.075000	0.083000	 50	5.0
hammingl	ampiab-ml-22 	BRDT    	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2272.4	 2332.0	   59.6	0.037000	0.035000	0.039000	 50	1.0
hammingl	elsio1       	BRDT    	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  451.1	  450.0	   -1.1	0.098000	0.088000	0.108000	 50	7.0
hammingl	elsio1-ml-11 	BRDT    	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	  605.5	 1166.0	  560.5	0.018000	0.017000	0.019000	 50	2.5
hammingl	elsio1-ml-22 	BRDT    	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1537.3	 1562.0	   24.7	0.059000	0.055000	0.063000	 50	3.0
hammingl	whoqol       	BRRF    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.162000	0.140000	0.184000	 50	7.0
hammingl	whoqol-ml-11 	BRRF    	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	  924.1	  925.0	    0.9	0.069000	0.064000	0.074000	 50	6.0
hammingl	whoqol-ml-22 	BRRF    	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	 2120.4	 2113.0	   -7.4	0.128000	0.123000	0.134000	 50	5.0
hammingl	ampiab       	BRRF    	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  179.9	  180.0	    0.1	0.239000	0.230000	0.249000	 50	7.0
hammingl	ampiab-ml-11 	BRRF    	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	  121.3	  122.0	    0.7	0.069000	0.066000	0.072000	 50	3.0
hammingl	ampiab-ml-22 	BRRF    	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2343.4	 2332.0	  -11.4	0.105000	0.099000	0.112000	 50	7.0
hammingl	elsio1       	BRRF    	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.9	  450.0	   -0.9	0.071000	0.069000	0.072000	 50	4.5
hammingl	elsio1-ml-11 	BRRF    	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1165.2	 1166.0	    0.8	0.044000	0.042000	0.046000	 50	5.5
hammingl	elsio1-ml-22 	BRRF    	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1559.3	 1562.0	    2.7	0.104000	0.098000	0.109000	 50	6.0
hammingl	whoqol       	Random  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    1.0	   18.0	   17.0	0.501000	0.477000	0.525000	 50	9.0
hammingl	whoqol-ml-11 	Random  	 3168	(3, 7, 'averages', 's-invariant', 'cover', 'lstsq', 'single')     	    1.0	  925.0	  924.0	0.718000	0.674000	0.766000	 50	9.0
hammingl	whoqol-ml-22 	Random  	 3434	(3, 8, 'measures', 'r-invariant', 'miss', 'lstsqsym', 'single')   	    1.0	 2113.0	 2112.0	0.776000	0.766000	0.786000	 50	9.0
hammingl	ampiab       	Random  	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	    1.0	  180.0	  179.0	0.457000	0.448000	0.465000	 50	9.0
hammingl	ampiab-ml-11 	Random  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    1.0	  122.0	  121.0	0.715000	0.659000	0.776000	 50	9.0
hammingl	ampiab-ml-22 	Random  	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	    1.0	 2332.0	 2331.0	0.206000	0.204000	0.208000	 50	9.0
hammingl	elsio1       	Random  	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	    1.0	  450.0	  449.0	0.276000	0.274000	0.279000	 50	9.0
hammingl	elsio1-ml-11 	Random  	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	    1.0	 1166.0	 1165.0	0.099000	0.098000	0.099000	 50	9.0
hammingl	elsio1-ml-22 	Random  	 2115	(2, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	    1.0	 1562.0	 1561.0	0.205000	0.203000	0.207000	 50	9.0
f1.micro	whoqol       	Polygrid	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	1.000000	1.000000	1.000000	 50	1.0
f1.micro	whoqol-ml-11 	Polygrid	 3424	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsq', 'single')     	 1057.0	 1057.0	    0.0	0.799000	0.784000	0.813000	 50	1.0
f1.micro	whoqol-ml-22 	Polygrid	 3450	(3, 8, 'measures', 'tree', 'miss', 'lstsqsym', 'single')          	 2113.0	 2113.0	    0.0	0.784000	0.774000	0.795000	 50	1.0
f1.micro	ampiab       	Polygrid	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.0	  180.0	    0.0	0.730000	0.718000	0.742000	 50	1.0
f1.micro	ampiab-ml-11 	Polygrid	 1494	(2, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	  342.0	  342.0	    0.0	0.665000	0.662000	0.669000	 50	1.0
f1.micro	ampiab-ml-22 	Polygrid	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2332.0	 2332.0	    0.0	0.825000	0.820000	0.829000	 50	5.0
f1.micro	elsio1       	Polygrid	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.798000	0.792000	0.803000	 50	1.0
f1.micro	elsio1-ml-11 	Polygrid	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1166.0	 1166.0	    0.0	0.837000	0.825000	0.848000	 50	4.0
f1.micro	elsio1-ml-22 	Polygrid	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1782.0	 1782.0	    0.0	0.847000	0.843000	0.852000	 50	4.0
f1.micro	whoqol       	Linear  	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	    8.0	   18.0	   10.0	0.645000	0.622000	0.670000	 50	8.0
f1.micro	whoqol-ml-11 	Linear  	 3424	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsq', 'single')     	   44.0	 1057.0	 1013.0	0.397000	0.382000	0.411000	 50	8.0
f1.micro	whoqol-ml-22 	Linear  	 3450	(3, 8, 'measures', 'tree', 'miss', 'lstsqsym', 'single')          	   88.0	 2113.0	 2025.0	0.501000	0.488000	0.514000	 50	8.0
f1.micro	ampiab       	Linear  	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   15.0	  180.0	  165.0	0.496000	0.485000	0.508000	 50	8.0
f1.micro	ampiab-ml-11 	Linear  	 1494	(2, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	   55.0	  342.0	  287.0	0.596000	0.586000	0.606000	 50	5.0
f1.micro	ampiab-ml-22 	Linear  	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	  110.0	 2332.0	 2222.0	0.633000	0.626000	0.639000	 50	8.0
f1.micro	elsio1       	Linear  	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   30.0	  450.0	  420.0	0.789000	0.784000	0.793000	 50	3.0
f1.micro	elsio1-ml-11 	Linear  	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	   55.0	 1166.0	 1111.0	0.319000	0.309000	0.329000	 50	8.0
f1.micro	elsio1-ml-22 	Linear  	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  110.0	 1782.0	 1672.0	0.508000	0.502000	0.514000	 50	8.0
f1.micro	whoqol       	Ridge   	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   10.0	   18.0	    8.0	0.959000	0.947000	0.972000	 50	3.0
f1.micro	whoqol-ml-11 	Ridge   	 3424	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsq', 'single')     	   55.0	 1057.0	 1002.0	0.572000	0.560000	0.585000	 50	7.0
f1.micro	whoqol-ml-22 	Ridge   	 3450	(3, 8, 'measures', 'tree', 'miss', 'lstsqsym', 'single')          	  110.0	 2113.0	 2003.0	0.678000	0.666000	0.690000	 50	6.0
f1.micro	ampiab       	Ridge   	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	   18.0	  180.0	  162.0	0.675000	0.665000	0.684000	 50	5.0
f1.micro	ampiab-ml-11 	Ridge   	 1494	(2, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	   66.0	  342.0	  276.0	0.657000	0.650000	0.664000	 50	2.0
f1.micro	ampiab-ml-22 	Ridge   	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	  132.0	 2332.0	 2200.0	0.753000	0.749000	0.758000	 50	6.0
f1.micro	elsio1       	Ridge   	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	   36.0	  450.0	  414.0	0.790000	0.785000	0.795000	 50	2.0
f1.micro	elsio1-ml-11 	Ridge   	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	   66.0	 1166.0	 1100.0	0.543000	0.534000	0.552000	 50	7.0
f1.micro	elsio1-ml-22 	Ridge   	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  132.0	 1782.0	 1650.0	0.663000	0.659000	0.667000	 50	7.0
f1.micro	whoqol       	MLP     	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	    0.0	0.982000	0.975000	0.989000	 50	2.0
f1.micro	whoqol-ml-11 	MLP     	 3424	(3, 8, 'measures', 'r-invariant', 'cover', 'lstsq', 'single')     	 1056.1	 1057.0	    0.9	0.735000	0.714000	0.758000	 50	3.0
f1.micro	whoqol-ml-22 	MLP     	 3450	(3, 8, 'measures', 'tree', 'miss', 'lstsqsym', 'single')          	 2111.8	 2113.0	    1.2	0.761000	0.750000	0.774000	 50	2.0
f1.micro	ampiab       	MLP     	 1952	(2, 6, 'rho', 'tree', 'cover', 'lstsq', 'single')                 	  180.1	  180.0	   -0.1	0.670000	0.659000	0.682000	 50	6.0
f1.micro	ampiab-ml-11 	MLP     	 1494	(2, 3, 'rho', 's-invariant', 'cover', 'ridge', 'single')          	  341.1	  342.0	    0.9	0.460000	0.433000	0.484000	 50	7.0
f1.micro	ampiab-ml-22 	MLP     	 3185	(3, 7, 'averages', 'r-invariant', 'cover', 'lstsq', 'multiple')   	 2309.6	 2332.0	   22.4	0.891000	0.887000	0.896000	 50	2.0
f1.micro	elsio1       	MLP     	 2995	(3, 5, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	  450.0	  450.0	    0.0	0.755000	0.748000	0.762000	 50	6.0
f1.micro	elsio1-ml-11 	MLP     	 3267	(3, 7, 'measures', 's-invariant', 'cover', 'lstsqsym', 'multiple')	 1155.1	 1166.0	   10.9	0.917000	0.912000	0.923000	 50	1.0
f1.micro	elsio1-ml-22 	MLP     	 2275	(2, 8, 'measures', 'r-invariant', 'cover', 'lstsqsym', 'multiple')	 1760.2	 1782.0	   21.8	0.900000	0.897000	0.903000	 50	1.0
f1.micro	whoqol       	DT      	  166	(1, 2, 'averages', 'r-invariant', 'cover', 'ridge', 'single')     	   18.0	   18.0	   -0.0	0.882000	0.861000	0.903000	 50	4.5
